data,qtd_incidentes,prioridade_media,pct_criticos,completude_media,tam_desc_medio,tem_AM,tem_disk,tem_ICMP,lag_1,lag_2,lag_7,lag_14,lag_30,media_7d,media_14d,media_30d,std_7d,dia_semana,mes,dia_mes,fim_de_semana,media_3d,trend_7_30,variacao_1d,variacao_7d,target_d1,target_d7
2025-01-31,113,1.9646017699115044,0.18584070796460178,1.0,45.309734513274336,0.0,0.10619469026548672,0.0,242.0,154.0,105.0,136.0,34.0,147.57142857142858,124.5,122.66666666666667,50.61902522061952,4,1,31,0,169.66666666666666,24.904761904761912,88.0,137.0,56.0,129.0
2025-02-01,56,1.7678571428571428,0.14285714285714285,1.0,44.339285714285715,0.0,0.16071428571428573,0.0,113.0,242.0,137.0,65.0,55.0,136.0,123.85714285714286,122.7,61.5223536610881,5,2,1,1,137.0,13.299999999999997,-129.0,-24.0,55.0,51.0
2025-02-02,55,2.0545454545454547,0.2727272727272727,0.9727272727272728,60.654545454545456,0.03636363636363636,0.18181818181818182,0.10909090909090909,56.0,113.0,77.0,58.0,77.0,132.85714285714286,123.64285714285714,121.96666666666667,65.47373155555992,6,2,2,1,74.66666666666667,10.890476190476193,-57.0,-21.0,227.0,46.0
2025-02-03,227,1.9647577092511013,0.14537444933920704,0.9713656387665198,51.51101321585903,0.004405286343612335,0.1013215859030837,0.004405286343612335,55.0,56.0,158.0,107.0,166.0,142.71428571428572,132.21428571428572,124.0,74.46635545827455,0,2,3,0,112.66666666666667,18.714285714285722,-1.0,-103.0,131.0,134.0
2025-02-04,131,2.0,0.17557251908396945,0.9866412213740458,38.091603053435115,0.007633587786259542,0.08396946564885496,0.030534351145038167,227.0,55.0,152.0,111.0,39.0,139.71428571428572,133.64285714285714,127.06666666666666,74.45292536387066,1,2,4,0,137.66666666666666,12.64761904761906,172.0,75.0,136.0,142.0
2025-02-05,136,2.051470588235294,0.23529411764705882,0.9908088235294118,41.4485294117647,0.0,0.13970588235294118,0.022058823529411766,131.0,227.0,154.0,124.0,115.0,137.14285714285714,134.5,127.76666666666667,74.18766422936851,2,2,5,0,164.66666666666666,9.376190476190473,-96.0,-23.0,174.0,156.0
2025-02-06,174,1.9597701149425288,0.16091954022988506,0.9942528735632183,41.632183908045974,0.017241379310344827,0.11494252873563218,0.011494252873563218,136.0,131.0,242.0,140.0,93.0,127.42857142857143,136.92857142857142,130.46666666666667,61.54363531364594,3,2,6,0,147.0,-3.038095238095238,5.0,-106.0,129.0,116.0
2025-02-07,129,1.937984496124031,0.15503875968992248,0.9922480620155039,40.689922480620154,0.015503875968992248,0.11627906976744186,0.007751937984496124,174.0,136.0,113.0,105.0,144.0,129.71428571428572,138.64285714285714,129.96666666666667,61.21468855787879,4,2,7,0,146.33333333333334,-0.25238095238094616,38.0,61.0,51.0,112.0
2025-02-08,51,2.0392156862745097,0.3137254901960784,1.0,40.568627450980394,0.0392156862745098,0.1568627450980392,0.0196078431372549,129.0,174.0,56.0,137.0,191.0,129.0,132.5,125.3,62.23878747747796,5,2,8,1,118.0,3.700000000000003,-45.0,73.0,46.0,90.0
2025-02-09,46,2.0,0.2826086956521739,1.0,48.32608695652174,0.021739130434782608,0.21739130434782608,0.043478260869565216,51.0,129.0,55.0,77.0,98.0,127.71428571428571,130.28571428571428,123.56666666666666,64.08773747947494,6,2,9,1,75.33333333333333,4.147619047619045,-78.0,-4.0,134.0,63.0
2025-02-10,134,2.156716417910448,0.26119402985074625,1.0,42.53731343283582,0.007462686567164179,0.029850746268656716,0.0,46.0,51.0,227.0,158.0,84.0,114.42857142857143,128.57142857142858,125.23333333333333,47.59151585054191,0,2,10,0,77.0,-10.804761904761904,-5.0,-181.0,142.0,117.0
2025-02-11,142,2.2183098591549295,0.352112676056338,0.9982394366197183,44.57746478873239,0.014084507042253521,0.056338028169014086,0.007042253521126761,134.0,46.0,131.0,152.0,45.0,116.0,127.85714285714286,128.46666666666667,48.4045452411238,1,2,11,0,107.33333333333333,-12.466666666666669,88.0,3.0,156.0,147.0
2025-02-12,156,2.108974358974359,0.26282051282051283,0.9983974358974359,41.19230769230769,0.01282051282051282,0.07692307692307693,0.0641025641025641,142.0,134.0,136.0,154.0,141.0,118.85714285714286,128.0,128.96666666666667,50.33364869027668,2,2,12,0,144.0,-10.109523809523807,8.0,6.0,116.0,185.0
2025-02-13,116,1.9482758620689655,0.20689655172413793,0.9978448275862069,43.01724137931034,0.008620689655172414,0.1206896551724138,0.034482758620689655,156.0,142.0,174.0,242.0,134.0,110.57142857142857,119.0,128.36666666666667,44.13561352187575,3,2,13,0,138.0,-17.795238095238105,14.0,-18.0,112.0,181.0
2025-02-14,112,1.9732142857142858,0.17857142857142858,0.9709821428571429,42.794642857142854,0.008928571428571428,0.0625,0.017857142857142856,116.0,156.0,129.0,113.0,224.0,108.14285714285714,118.92857142857143,124.63333333333334,43.41439304895928,4,2,14,0,128.0,-16.4904761904762,-40.0,-13.0,90.0,168.0
2025-02-15,90,1.8888888888888888,0.12222222222222222,1.0,45.67777777777778,0.011111111111111112,0.13333333333333333,0.011111111111111112,112.0,116.0,51.0,56.0,195.0,113.71428571428571,121.35714285714286,121.13333333333334,36.8678463601835,5,2,15,1,106.0,-7.419047619047632,-4.0,61.0,63.0,71.0
2025-02-16,63,2.126984126984127,0.23809523809523808,1.0,47.04761904761905,0.031746031746031744,0.07936507936507936,0.015873015873015872,90.0,112.0,46.0,55.0,136.0,116.14285714285714,121.92857142857143,118.7,31.887450882902577,6,2,16,1,88.33333333333333,-2.557142857142864,-22.0,44.0,117.0,108.0
2025-02-17,117,2.0854700854700856,0.23931623931623933,1.0,42.78632478632478,0.02564102564102564,0.05982905982905983,0.008547008547008548,63.0,90.0,134.0,227.0,65.0,113.71428571428571,114.07142857142857,120.43333333333334,30.933877253017645,0,2,17,0,90.0,-6.719047619047629,-27.0,-71.0,147.0,116.0
2025-02-18,147,1.9931972789115646,0.1292517006802721,0.9931972789115646,44.625850340136054,0.006802721088435374,0.034013605442176874,0.013605442176870748,117.0,63.0,142.0,131.0,58.0,114.42857142857143,115.21428571428571,123.4,31.743015729748304,1,2,18,0,109.0,-8.971428571428575,54.0,-25.0,185.0,125.0
2025-02-19,185,1.9405405405405405,0.0972972972972973,0.9864864864864865,46.935135135135134,0.0,0.06486486486486487,0.005405405405405406,147.0,117.0,156.0,136.0,107.0,118.57142857142857,118.71428571428571,126.0,39.11034450908159,2,2,19,0,149.66666666666666,-7.428571428571431,30.0,-9.0,181.0,230.0
2025-02-20,181,2.044198895027624,0.18232044198895028,0.9958563535911602,43.48618784530387,0.0055248618784530384,0.06629834254143646,0.0055248618784530384,185.0,147.0,116.0,174.0,111.0,127.85714285714286,119.21428571428571,128.33333333333334,45.57933951338251,3,2,20,0,171.0,-0.4761904761904816,38.0,69.0,168.0,155.0
2025-02-21,168,2.1666666666666665,0.24404761904761904,1.0,45.24404761904762,0.017857142857142856,0.041666666666666664,0.017857142857142856,181.0,185.0,112.0,129.0,124.0,135.85714285714286,122.0,129.8,47.21732934502112,4,2,21,0,178.0,6.05714285714285,-4.0,69.0,71.0,132.0
2025-02-22,71,2.056338028169014,0.23943661971830985,0.9894366197183099,46.32394366197183,0.056338028169014086,0.07042253521126761,0.04225352112676056,168.0,181.0,90.0,51.0,140.0,133.14285714285714,123.42857142857143,127.5,50.7097248116788,5,2,22,1,140.0,5.642857142857139,-13.0,78.0,108.0,84.0
2025-02-23,108,2.0462962962962963,0.23148148148148148,0.9953703703703703,48.138888888888886,0.07407407407407407,0.07407407407407407,0.027777777777777776,71.0,168.0,63.0,46.0,105.0,139.57142857142858,127.85714285714286,127.6,42.52786201561336,6,2,23,1,115.66666666666667,11.97142857142859,-97.0,8.0,116.0,39.0
2025-02-24,116,2.0775862068965516,0.19827586206896552,0.9935344827586207,43.85344827586207,0.008620689655172414,0.06896551724137931,0.008620689655172414,108.0,71.0,117.0,134.0,137.0,139.42857142857142,126.57142857142857,126.9,42.6179036824398,0,2,24,0,98.33333333333333,12.52857142857141,37.0,-9.0,125.0,43.0
2025-02-25,125,2.008,0.176,1.0,46.752,0.056,0.08,0.0,116.0,108.0,147.0,142.0,77.0,136.28571428571428,125.35714285714286,128.5,42.77738610416447,1,2,25,0,116.33333333333333,7.785714285714278,8.0,-31.0,230.0,42.0
2025-02-26,230,1.6695652173913043,0.09130434782608696,0.9836956521739131,50.221739130434784,0.021739130434782608,0.05652173913043478,0.013043478260869565,125.0,116.0,185.0,156.0,158.0,142.71428571428572,130.64285714285714,130.9,53.384499266217375,2,2,26,0,157.0,11.814285714285717,9.0,-60.0,155.0,99.0
2025-02-27,155,2.0387096774193547,0.2645161290322581,0.9919354838709677,46.670967741935485,0.012903225806451613,0.07741935483870968,0.025806451612903226,230.0,125.0,181.0,116.0,152.0,139.0,133.42857142857142,131.0,51.133811384119106,3,2,27,0,170.0,8.0,105.0,49.0,132.0,138.0
2025-02-28,132,2.0833333333333335,0.25,0.9696969696969697,50.64393939393939,0.007575757575757576,0.11363636363636363,0.022727272727272728,155.0,230.0,168.0,112.0,154.0,133.85714285714286,134.85714285714286,130.26666666666668,49.51575025998824,4,2,28,0,172.33333333333334,3.5904761904761813,-75.0,-13.0,84.0,120.0
2025-03-01,84,1.7857142857142858,0.21428571428571427,0.9434523809523809,54.80952380952381,0.047619047619047616,0.09523809523809523,0.0,132.0,155.0,71.0,90.0,242.0,135.71428571428572,134.42857142857142,125.0,46.942213716136465,5,3,1,1,123.66666666666667,10.714285714285722,-23.0,61.0,39.0,130.0
2025-03-02,39,2.1794871794871793,0.41025641025641024,0.9935897435897436,63.56410256410256,0.2564102564102564,0.20512820512820512,0.02564102564102564,84.0,132.0,108.0,63.0,113.0,125.85714285714286,132.71428571428572,122.53333333333333,59.33921854172718,6,3,2,1,85.0,3.3238095238095298,-48.0,-24.0,43.0,42.0
2025-03-03,43,1.9534883720930232,0.2558139534883721,1.0,41.58139534883721,0.0,0.09302325581395349,0.046511627906976744,39.0,84.0,116.0,117.0,56.0,115.42857142857143,127.42857142857143,122.1,67.24794208216126,0,3,3,0,55.333333333333336,-6.671428571428564,-45.0,-77.0,42.0,110.0
2025-03-04,42,1.7380952380952381,0.16666666666666666,1.0,46.333333333333336,0.023809523809523808,0.19047619047619047,0.047619047619047616,43.0,39.0,125.0,147.0,55.0,103.57142857142857,119.92857142857143,121.66666666666667,72.39902656541074,1,3,4,0,41.333333333333336,-18.095238095238102,4.0,-82.0,99.0,172.0
2025-03-05,99,2.0606060606060606,0.23232323232323232,0.9924242424242424,46.03030303030303,0.010101010101010102,0.15151515151515152,0.030303030303030304,42.0,43.0,230.0,185.0,227.0,84.85714285714286,113.78571428571429,117.4,46.60982933326607,2,3,5,0,61.333333333333336,-32.542857142857144,-1.0,-188.0,138.0,158.0
2025-03-06,138,2.050724637681159,0.18115942028985507,0.9891304347826086,49.53623188405797,0.0,0.09420289855072464,0.028985507246376812,99.0,42.0,155.0,181.0,131.0,82.42857142857143,110.71428571428571,117.63333333333334,42.61790368243978,3,3,6,0,93.0,-35.20476190476191,57.0,-56.0,120.0,157.0
2025-03-07,120,2.075,0.19166666666666668,0.9979166666666667,44.84166666666667,0.008333333333333333,0.058333333333333334,0.008333333333333333,138.0,99.0,132.0,168.0,136.0,80.71428571428571,107.28571428571429,117.1,40.47927159141366,4,3,7,0,119.0,-36.385714285714286,39.0,6.0,130.0,155.0
2025-03-08,130,1.9615384615384615,0.1076923076923077,0.9826923076923076,39.86923076923077,0.007692307692307693,0.06153846153846154,0.023076923076923078,120.0,138.0,84.0,71.0,174.0,87.28571428571429,111.5,115.63333333333334,44.62329095033327,5,3,8,1,129.33333333333334,-28.347619047619048,-18.0,36.0,42.0,48.0
2025-03-09,42,1.9523809523809523,0.2857142857142857,0.9940476190476191,47.5,0.047619047619047616,0.14285714285714285,0.023809523809523808,130.0,120.0,39.0,108.0,129.0,87.71428571428571,106.78571428571429,112.73333333333333,44.093515342259735,6,3,9,1,97.33333333333333,-25.019047619047626,10.0,91.0,110.0,68.0
2025-03-10,110,2.1,0.24545454545454545,1.0,43.81818181818182,0.0,0.09090909090909091,0.0,42.0,130.0,43.0,116.0,51.0,97.28571428571429,106.35714285714286,114.7,39.83597321397786,0,3,10,0,94.0,-17.41428571428571,-88.0,-1.0,172.0,230.0
